Original Repo,Project Name,Description,Primary Language,License,Stars,Forks,Default Branch,Canonical Repo,Topics,Homepage,Created At
https://github.com/openai/codex,codex,Lightweight coding agent that runs in your terminal,Rust,Apache-2.0,74643,10551,main,openai/codex,,https://github.com/openai/codex,2025-04-13
https://github.com/google-gemini/gemini-cli,gemini-cli,An open-source AI agent that brings the power of Gemini directly into your terminal.,TypeScript,Apache-2.0,100961,13043,main,google-gemini/gemini-cli,"ai,ai-agents,cli,gemini,gemini-api,mcp-client,mcp-server",https://geminicli.com,2025-04-17
https://github.com/QwenLM/Qwen3-Coder,Qwen3-Coder,Qwen3-Coder is the code version of Qwen3 the large language model series developed by Qwen team.,Python,N/A,16342,1175,main,QwenLM/Qwen3-Coder,,https://github.com/QwenLM/Qwen3-Coder,2024-04-16
https://github.com/QwenLM/Qwen3-TTS,Qwen3-TTS,"Qwen3-TTS is an open-source series of TTS models developed by the Qwen team at Alibaba Cloud, supporting stable, expressive, and streaming speech generation, free-form voice design, and vivid voice cloning.",Python,Apache-2.0,10549,1371,main,QwenLM/Qwen3-TTS,,https://github.com/QwenLM/Qwen3-TTS,2026-01-21
https://github.com/All-Hands-AI/OpenHands,OpenHands,🙌 OpenHands: AI-Driven Development,Python,Other,71029,8918,main,OpenHands/OpenHands,"agent,artificial-intelligence,chatgpt,claude-ai,cli,developer-tools,gpt,llm,openai",https://openhands.dev,2024-03-13
